version,1.7.0
info,balls_per_over,6
info,team,Sri Lanka
info,team,England
info,gender,male
info,season,2025/26
info,date,2026/02/01
info,event,England tour of Sri Lanka
info,match_number,2
info,venue,Pallekele International Cricket Stadium
info,city,Kandy
info,toss_winner,England
info,toss_decision,field
info,player_of_match,T Banton
info,umpire,IC Soysa
info,umpire,RA Kottahachchi
info,reserve_umpire,JWHD Boteju
info,tv_umpire,N Perera
info,match_referee,V Narayan Kutty
info,winner,England
info,winner_wickets,6
info,method,D/L
info,player,Sri Lanka,P Nissanka
info,player,Sri Lanka,K Mishara
info,player,Sri Lanka,BKG Mendis
info,player,Sri Lanka,P Rathnayake
info,player,Sri Lanka,MD Shanaka
info,player,Sri Lanka,KIC Asalanka
info,player,Sri Lanka,J Liyanage
info,player,Sri Lanka,DN Wellalage
info,player,Sri Lanka,PWH de Silva
info,player,Sri Lanka,M Pathirana
info,player,Sri Lanka,E Malinga
info,player,England,PD Salt
info,player,England,JC Buttler
info,player,England,JG Bethell
info,player,England,T Banton
info,player,England,HC Brook
info,player,England,SM Curran
info,player,England,WG Jacks
info,player,England,J Overton
info,player,England,AU Rashid
info,player,England,LA Dawson
info,player,England,JC Archer
info,registry,people,AU Rashid,249d60c9
info,registry,people,BKG Mendis,5d1e7582
info,registry,people,DN Wellalage,736123bb
info,registry,people,E Malinga,5750bcb4
info,registry,people,HC Brook,4ae1755b
info,registry,people,IC Soysa,717a7971
info,registry,people,J Liyanage,84212ffb
info,registry,people,J Overton,59559bc2
info,registry,people,JC Archer,5574750c
info,registry,people,JC Buttler,99b75528
info,registry,people,JG Bethell,3c55c703
info,registry,people,JWHD Boteju,7934d6fb
info,registry,people,K Mishara,65cebd5d
info,registry,people,KIC Asalanka,732c038e
info,registry,people,LA Dawson,4a461c24
ball,1,7.5,Sri Lanka,BKG Mendis,K Mishara,LA Dawson,2,0,,,,,,"",""
ball,1,7.6,Sri Lanka,BKG Mendis,K Mishara,LA Dawson,4,0,,,,,,"",""
ball,1,8.1,Sri Lanka,K Mishara,BKG Mendis,J Overton,2,0,,,,,,"",""
ball,1,8.2,Sri Lanka,K Mishara,BKG Mendis,J Overton,4,0,,,,,,"",""
ball,1,8.3,Sri Lanka,K Mishara,BKG Mendis,J Overton,0,0,,,,,,"",""
ball,1,8.4,Sri Lanka,K Mishara,BKG Mendis,J Overton,1,0,,,,,,"",""
ball,1,8.5,Sri Lanka,BKG Mendis,K Mishara,J Overton,1,0,,,,,,"",""
ball,1,8.6,Sri Lanka,K Mishara,BKG Mendis,J Overton,1,0,,,,,,"",""
ball,1,9.1,Sri Lanka,K Mishara,BKG Mendis,AU Rashid,0,0,,,,,,"",""
ball,1,9.2,Sri Lanka,K Mishara,BKG Mendis,AU Rashid,1,0,,,,,,"",""
ball,1,9.3,Sri Lanka,BKG Mendis,K Mishara,AU Rashid,1,0,,,,,,"",""
ball,1,9.4,Sri Lanka,K Mishara,BKG Mendis,AU Rashid,0,1,,,,1,,"",""
ball,1,9.5,Sri Lanka,BKG Mendis,K Mishara,AU Rashid,0,2,2,,,,,"",""
ball,1,9.6,Sri Lanka,K Mishara,BKG Mendis,AU Rashid,1,0,,,,,,"",""
ball,1,9.7,Sri Lanka,BKG Mendis,K Mishara,AU Rashid,4,0,,,,,,"",""
ball,1,10.1,Sri Lanka,K Mishara,BKG Mendis,WG Jacks,1,0,,,,,,"",""
ball,1,10.2,Sri Lanka,BKG Mendis,K Mishara,WG Jacks,1,0,,,,,,"",""
