date,venue,toss_winner,winner,team1,team2,toss_match_winner,venue_avg
2019-02-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Ireland,Netherlands,1,0.6
2019-02-24,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Australia,Australia,India,Australia,1,0.6
2019-02-27,M.Chinnaswamy Stadium,Australia,Australia,India,Australia,1,0.6
2019-03-05,"""Darren Sammy National Cricket Stadium",England,England,West Indies,England,1,0.6
2019-03-08,"""Warner Park",West Indies,England,West Indies,England,0,0.6
2019-03-10,"""Warner Park",West Indies,England,West Indies,England,0,0.6
2019-03-22,SuperSport Park,Sri Lanka,South Africa,South Africa,Sri Lanka,0,0.6
2019-03-24,The Wanderers Stadium,Sri Lanka,South Africa,South Africa,Sri Lanka,0,0.6
2019-05-05,Sophia Gardens,Pakistan,England,England,Pakistan,0,0.6
2019-06-23,Hazelaarweg,Zimbabwe,Netherlands,Netherlands,Zimbabwe,0,0.6
2019-07-12,"""Bready Cricket Club",Ireland,Ireland,Ireland,Zimbabwe,1,0.6
2019-07-14,Bready,Zimbabwe,Zimbabwe,Ireland,Zimbabwe,1,0.6
2019-08-03,Central Broward Regional Park Stadium Turf Ground,India,India,India,West Indies,1,0.6
2019-08-04,Central Broward Regional Park Stadium Turf Ground,India,India,India,West Indies,1,0.6
2019-08-05,VRA Ground,United Arab Emirates,United Arab Emirates,Netherlands,United Arab Emirates,1,0.6
2019-08-06,"""Providence Stadium",India,India,West Indies,India,1,0.6
2019-08-08,Sportpark Westvliet,Netherlands,United Arab Emirates,Netherlands,United Arab Emirates,0,0.6
2019-09-01,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,New Zealand,0,0.6
2019-09-03,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,Sri Lanka,New Zealand,0,0.6
2019-09-06,Pallekele International Cricket Stadium,Sri Lanka,Sri Lanka,Sri Lanka,New Zealand,1,0.6
2019-09-16,"""The Village",Netherlands,Scotland,Netherlands,Scotland,0,0.6
2019-09-17,"""The Village",Scotland,Ireland,Ireland,Scotland,0,0.6
2019-09-18,"""Punjab Cricket Association IS Bindra Stadium",India,India,India,South Africa,1,0.6
2019-09-18,"""The Village",Ireland,Netherlands,Ireland,Netherlands,0,0.6
2019-09-19,"""The Village",Netherlands,Scotland,Netherlands,Scotland,0,0.6
2019-09-22,M.Chinnaswamy Stadium,India,South Africa,India,South Africa,0,0.6
2019-09-27,Indian Association Ground,Nepal,Zimbabwe,Nepal,Zimbabwe,0,0.6
2019-10-01,Indian Association Ground,Nepal,Zimbabwe,Nepal,Zimbabwe,0,0.6
2019-10-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Ireland,Netherlands,1,0.6
2019-10-05,Gaddafi Stadium,Pakistan,Sri Lanka,Pakistan,Sri Lanka,0,0.6
2019-10-06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,Oman,Ireland,0,0.6
