date,venue,toss_winner,winner,team1,team2,toss_match_winner,venue_avg
2022-05-19,"""Queens Sports Club",Zimbabwe,Namibia,Zimbabwe,Namibia,0,0.6
2022-05-21,"""Queens Sports Club",Namibia,Zimbabwe,Namibia,Zimbabwe,0,0.6
2022-05-22,"""Queens Sports Club",Namibia,Namibia,Zimbabwe,Namibia,1,0.6
2022-05-24,"""Queens Sports Club",Zimbabwe,Namibia,Namibia,Zimbabwe,0,0.6
2022-06-07,"""R Premadasa Stadium",Australia,Australia,Sri Lanka,Australia,1,0.6
2022-06-08,"""R Premadasa Stadium",Australia,Australia,Sri Lanka,Australia,1,0.6
2022-06-09,"""Arun Jaitley Stadium",South Africa,South Africa,India,South Africa,1,0.6
2022-06-11,Pallekele International Cricket Stadium,Australia,Sri Lanka,Australia,Sri Lanka,0,0.6
2022-06-12,"""Barabati Stadium",South Africa,South Africa,India,South Africa,1,0.6
2022-06-14,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",South Africa,India,India,South Africa,0,0.6
2022-06-17,"""Saurashtra Cricket Association Stadium",South Africa,India,India,South Africa,0,0.6
2022-06-26,"""The Village",India,India,Ireland,India,1,0.6
2022-06-28,"""The Village",India,India,India,Ireland,1,0.6
2022-07-07,"""The Rose Bowl",India,India,India,England,1,0.6
2022-07-09,"""Edgbaston",England,India,India,England,0,0.6
2022-07-10,"""Trent Bridge",England,England,England,India,1,0.6
2022-07-17,"""Queens Sports Club",Zimbabwe,Zimbabwe,Zimbabwe,Netherlands,1,0.6
2022-07-18,"""Civil Service Cricket Club",Ireland,New Zealand,New Zealand,Ireland,0,0.6
2022-07-20,"""Civil Service Cricket Club",Ireland,New Zealand,New Zealand,Ireland,0,0.6
2022-07-22,"""Civil Service Cricket Club",Ireland,New Zealand,Ireland,New Zealand,0,0.6
2022-07-27,"""Grange Cricket Club Ground",Scotland,New Zealand,New Zealand,Scotland,0,0.6
2022-07-27,"""County Ground",South Africa,England,England,South Africa,0,0.6
2022-07-28,"""Sophia Gardens",England,South Africa,South Africa,England,0,0.6
2022-07-29,"""Brian Lara Stadium",West Indies,India,India,West Indies,0,0.6
2022-07-29,"""Grange Cricket Club Ground",New Zealand,New Zealand,New Zealand,Scotland,1,0.6
2022-07-31,"""The Rose Bowl",England,South Africa,South Africa,England,0,0.6
2022-08-01,"""Warner Park",West Indies,West Indies,India,West Indies,1,0.6
2022-08-02,"""Warner Park",India,India,West Indies,India,1,0.6
2022-08-03,"""County Ground",South Africa,South Africa,South Africa,Ireland,1,0.6
2022-08-04,"""Sportpark Westvliet",New Zealand,New Zealand,New Zealand,Netherlands,1,0.6
2022-08-05,"""Sportpark Westvliet",Netherlands,New Zealand,Netherlands,New Zealand,0,0.6
2022-08-05,"""County Ground",Ireland,South Africa,South Africa,Ireland,0,0.6
2022-08-06,"""Central Broward Regional Park Stadium Turf Ground",West Indies,India,India,West Indies,0,0.6
2022-08-07,"""Central Broward Regional Park Stadium Turf Ground",India,India,India,West Indies,1,0.6
2022-08-10,"""Sabina Park",West Indies,New Zealand,New Zealand,West Indies,0,0.6
2022-08-12,"""Sabina Park",New Zealand,New Zealand,New Zealand,West Indies,1,0.6
2022-08-14,"""Sabina Park",New Zealand,West Indies,New Zealand,West Indies,0,0.6
2022-08-28,Dubai International Cricket Stadium,India,India,Pakistan,India,1,0.6
2022-09-04,Dubai International Cricket Stadium,Pakistan,Pakistan,India,Pakistan,1,0.6
2022-09-06,Dubai International Cricket Stadium,Sri Lanka,Sri Lanka,India,Sri Lanka,1,0.6
2022-09-09,Dubai International Cricket Stadium,Sri Lanka,Sri Lanka,Pakistan,Sri Lanka,1,0.6
2022-09-11,Dubai International Cricket Stadium,Pakistan,Sri Lanka,Sri Lanka,Pakistan,0,0.6
2022-09-20,"""Punjab Cricket Association IS Bindra Stadium",Australia,Australia,India,Australia,1,0.6
2022-09-20,"""National Stadium",England,England,Pakistan,England,1,0.6
2022-09-22,"""National Stadium",England,Pakistan,England,Pakistan,0,0.6
2022-09-23,"""Vidarbha Cricket Association Stadium",India,India,Australia,India,1,0.6
2022-09-23,"""National Stadium",Pakistan,England,England,Pakistan,0,0.6
2022-09-25,"""National Stadium",England,Pakistan,Pakistan,England,0,0.6
2022-09-25,"""Rajiv Gandhi International Stadium",India,India,Australia,India,1,0.6
2022-09-28,"""Gaddafi Stadium",England,Pakistan,Pakistan,England,0,0.6
2022-09-28,"""Greenfield International Stadium",India,India,South Africa,India,1,0.6
2022-09-30,"""Gaddafi Stadium",England,England,Pakistan,England,1,0.6
2022-10-02,"""Barsapara Cricket Stadium",South Africa,India,India,South Africa,0,0.6
2022-10-02,"""Gaddafi Stadium",Pakistan,England,England,Pakistan,0,0.6
2022-10-04,"""Holkar Cricket Stadium",India,South Africa,South Africa,India,0,0.6
2022-10-05,Carrara Oval,Australia,Australia,West Indies,Australia,1,0.6
2022-10-07,"""Brisbane Cricket Ground",West Indies,Australia,Australia,West Indies,0,0.6
2022-10-08,"""Hagley Oval",New Zealand,Pakistan,New Zealand,Pakistan,0,0.6
2022-10-09,Perth Stadium,Australia,England,England,Australia,0,0.6
2022-10-11,"""Hagley Oval",Pakistan,New Zealand,Pakistan,New Zealand,0,0.6
2022-10-12,"""Manuka Oval",Australia,England,England,Australia,0,0.6
2022-10-14,"""Hagley Oval",Pakistan,Pakistan,New Zealand,Pakistan,1,0.6
2022-10-16,"""GMHBA Stadium",United Arab Emirates,Netherlands,United Arab Emirates,Netherlands,0,0.6
2022-10-16,"""GMHBA Stadium",Sri Lanka,Namibia,Namibia,Sri Lanka,0,0.6
2022-10-17,"""Bellerive Oval",West Indies,Scotland,Scotland,West Indies,0,0.6
2022-10-17,"""Bellerive Oval",Ireland,Zimbabwe,Zimbabwe,Ireland,0,0.6
2022-10-18,"""GMHBA Stadium",Namibia,Netherlands,Namibia,Netherlands,0,0.6
2022-10-18,"""GMHBA Stadium",United Arab Emirates,Sri Lanka,Sri Lanka,United Arab Emirates,0,0.6
2022-10-19,"""Bellerive Oval",Scotland,Ireland,Scotland,Ireland,0,0.6
2022-10-19,"""Bellerive Oval",West Indies,West Indies,West Indies,Zimbabwe,1,0.6
2022-10-20,"""GMHBA Stadium",United Arab Emirates,United Arab Emirates,United Arab Emirates,Namibia,1,0.6
2022-10-20,"""GMHBA Stadium",Sri Lanka,Sri Lanka,Sri Lanka,Netherlands,1,0.6
2022-10-21,"""Bellerive Oval",Scotland,Zimbabwe,Scotland,Zimbabwe,0,0.6
2022-10-21,"""Bellerive Oval",West Indies,Ireland,West Indies,Ireland,0,0.6
2022-10-22,Sydney Cricket Ground,Australia,New Zealand,New Zealand,Australia,0,0.6
2022-10-23,Melbourne Cricket Ground,India,India,Pakistan,India,1,0.6
2022-10-23,"""Bellerive Oval",Ireland,Sri Lanka,Ireland,Sri Lanka,0,0.6
2022-10-25,Perth Stadium,Australia,Australia,Sri Lanka,Australia,1,0.6
2022-10-26,Melbourne Cricket Ground,England,Ireland,Ireland,England,0,0.6
2022-10-27,Sydney Cricket Ground,India,India,India,Netherlands,1,0.6
2022-10-27,Perth Stadium,Zimbabwe,Zimbabwe,Zimbabwe,Pakistan,1,0.6
2022-10-29,Sydney Cricket Ground,New Zealand,New Zealand,New Zealand,Sri Lanka,1,0.6
2022-10-30,Perth Stadium,Netherlands,Pakistan,Netherlands,Pakistan,0,0.6
2022-10-30,Perth Stadium,India,South Africa,India,South Africa,0,0.6
2022-10-31,"""Brisbane Cricket Ground",Ireland,Australia,Australia,Ireland,0,0.6
2022-11-01,"""Brisbane Cricket Ground",England,England,England,New Zealand,1,0.6
2022-11-02,Adelaide Oval,Zimbabwe,Netherlands,Zimbabwe,Netherlands,0,0.6
2022-11-03,Sydney Cricket Ground,Pakistan,Pakistan,Pakistan,South Africa,1,0.6
2022-11-04,Adelaide Oval,Ireland,New Zealand,New Zealand,Ireland,0,0.6
2022-11-05,Sydney Cricket Ground,Sri Lanka,England,Sri Lanka,England,0,0.6
2022-11-06,Melbourne Cricket Ground,India,India,India,Zimbabwe,1,0.6
2022-11-06,Adelaide Oval,South Africa,Netherlands,Netherlands,South Africa,0,0.6
2022-11-09,Sydney Cricket Ground,New Zealand,Pakistan,New Zealand,Pakistan,0,0.6
2022-11-10,Adelaide Oval,England,England,India,England,1,0.6
2022-11-13,Melbourne Cricket Ground,England,England,Pakistan,England,1,0.6
2022-11-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Canada,Canada,Oman,0,0.6
2022-11-20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Canada,Oman,Canada,1,0.6
2022-11-20,"""Bay Oval",New Zealand,India,India,New Zealand,0,0.6
2022-11-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Canada,Canada,Oman,Canada,1,0.6
2023-01-03,"""Wankhede Stadium",Sri Lanka,India,India,Sri Lanka,0,0.6
2023-01-05,"""Maharashtra Cricket Association Stadium",India,Sri Lanka,Sri Lanka,India,0,0.6
2023-01-07,"""Saurashtra Cricket Association Stadium",India,India,India,Sri Lanka,1,0.6
2023-01-12,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe,1,0.6
2023-01-14,Harare Sports Club,Ireland,Ireland,Zimbabwe,Ireland,1,0.6
2023-01-15,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe,1,0.6
2023-01-27,"""JSCA International Stadium Complex",India,New Zealand,New Zealand,India,0,0.6
2023-01-29,"""Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium",New Zealand,India,New Zealand,India,0,0.6
2023-02-01,"""Narendra Modi Stadium",India,India,India,New Zealand,1,0.6
2023-03-25,"""SuperSport Park",West Indies,West Indies,South Africa,West Indies,1,0.6
2023-03-26,"""SuperSport Park",South Africa,South Africa,West Indies,South Africa,1,0.6
2023-03-28,"""The Wanderers Stadium",South Africa,West Indies,West Indies,South Africa,0,0.6
2023-04-05,"""University Oval",New Zealand,New Zealand,Sri Lanka,New Zealand,1,0.6
2023-04-08,"""John Davies Oval",New Zealand,New Zealand,Sri Lanka,New Zealand,1,0.6
2023-04-14,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2023-04-15,"""Gaddafi Stadium",Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2023-04-17,"""Gaddafi Stadium",New Zealand,New Zealand,New Zealand,Pakistan,1,0.6
2023-04-24,Rawalpindi Cricket Stadium,New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2023-07-20,"""Goldenacre",Italy,Ireland,Ireland,Italy,0,0.6
2023-07-24,"""Grange Cricket Club Ground",Italy,Scotland,Scotland,Italy,0,0.6
2023-07-28,"""Grange Cricket Club Ground",Ireland,Scotland,Scotland,Ireland,0,0.6
2023-08-03,"""Brian Lara Stadium",West Indies,West Indies,West Indies,India,1,0.6
2023-08-06,"""Providence Stadium",India,West Indies,India,West Indies,0,0.6
2023-08-08,"""Providence Stadium",West Indies,India,West Indies,India,0,0.6
2023-08-12,"""Central Broward Regional Park Stadium Turf Ground",West Indies,India,West Indies,India,0,0.6
2023-08-13,"""Central Broward Regional Park Stadium Turf Ground",India,West Indies,India,West Indies,0,0.6
2023-08-17,Dubai International Cricket Stadium,United Arab Emirates,New Zealand,New Zealand,United Arab Emirates,0,0.6
2023-08-18,"""Malahide",India,India,Ireland,India,1,0.6
2023-08-19,Dubai International Cricket Stadium,United Arab Emirates,United Arab Emirates,New Zealand,United Arab Emirates,1,0.6
2023-08-20,"""Malahide",Ireland,India,India,Ireland,0,0.6
2023-08-20,Dubai International Cricket Stadium,United Arab Emirates,New Zealand,New Zealand,United Arab Emirates,0,0.6
2023-08-30,"""Riverside Ground",England,England,New Zealand,England,1,0.6
2023-08-30,"""Kingsmead",South Africa,Australia,Australia,South Africa,0,0.6
2023-09-01,"""Old Trafford",England,England,England,New Zealand,1,0.6
2023-09-01,"""Kingsmead",Australia,Australia,South Africa,Australia,1,0.6
2023-09-03,"""Kingsmead",South Africa,Australia,South Africa,Australia,0,0.6
2023-09-03,"""Edgbaston",New Zealand,New Zealand,New Zealand,England,1,0.6
2023-09-05,"""Trent Bridge",England,New Zealand,England,New Zealand,0,0.6
2023-09-23,"""West End Park International Cricket Stadium",United Arab Emirates,Oman,United Arab Emirates,Oman,0,0.6
2023-10-03,Zhejiang University of Technology Cricket Field,India,India,India,Nepal,1,0.6
2023-10-18,Mulpani Cricket Ground,Nepal,Nepal,United Arab Emirates,Nepal,1,0.6
2023-10-23,Mulpani Cricket Ground,Nepal,Nepal,United Arab Emirates,Nepal,1,0.6
2023-10-24,"""Wanderers Cricket Ground",Zimbabwe,Namibia,Zimbabwe,Namibia,0,0.6
2023-10-25,"""Wanderers Cricket Ground",Zimbabwe,Zimbabwe,Namibia,Zimbabwe,1,0.6
2023-10-27,"""Tribhuvan University International Cricket Ground",United Arab Emirates,United Arab Emirates,Nepal,United Arab Emirates,1,0.6
2023-10-27,"""United Cricket Club Ground",Namibia,Zimbabwe,Namibia,Zimbabwe,0,0.6
2023-10-29,"""United Cricket Club Ground",Zimbabwe,Namibia,Zimbabwe,Namibia,0,0.6
2023-10-30,"""United Cricket Club Ground",Zimbabwe,Namibia,Namibia,Zimbabwe,0,0.6
2023-11-02,"""Tribhuvan University International Cricket Ground",Nepal,Oman,Oman,Nepal,0,0.6
2023-11-03,Mulpani Cricket Ground,United Arab Emirates,Nepal,United Arab Emirates,Nepal,0,0.6
2023-11-22,"""Wanderers Cricket Ground",Namibia,Namibia,Zimbabwe,Namibia,1,0.6
2023-11-23,"""Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium",India,India,Australia,India,1,0.6
2023-11-26,"""Greenfield International Stadium",Australia,India,India,Australia,0,0.6
2023-11-28,"""Barsapara Cricket Stadium",Australia,Australia,India,Australia,1,0.6
2023-12-01,"""Shaheed Veer Narayan Singh International Stadium",Australia,India,India,Australia,0,0.6
2023-12-03,"""M Chinnaswamy Stadium",Australia,India,India,Australia,0,0.6
2023-12-07,Harare Sports Club,Zimbabwe,Zimbabwe,Ireland,Zimbabwe,1,0.6
2023-12-09,Harare Sports Club,Ireland,Ireland,Zimbabwe,Ireland,1,0.6
2023-12-10,Harare Sports Club,Ireland,Ireland,Zimbabwe,Ireland,1,0.6
2023-12-12,"""Kensington Oval",West Indies,West Indies,England,West Indies,1,0.6
2023-12-12,"""St George's Park",South Africa,South Africa,India,South Africa,1,0.6
2023-12-14,"""National Cricket Stadium",England,West Indies,West Indies,England,0,0.6
2023-12-14,"""The Wanderers Stadium",South Africa,India,India,South Africa,0,0.6
2023-12-16,"""National Cricket Stadium",England,England,West Indies,England,1,0.6
2023-12-19,"""Brian Lara Stadium",West Indies,England,England,West Indies,0,0.6
2023-12-21,"""Brian Lara Stadium",West Indies,West Indies,England,West Indies,1,0.6
2024-01-12,"""Eden Park",Pakistan,New Zealand,New Zealand,Pakistan,0,0.6
2024-01-14,"""Seddon Park",Pakistan,New Zealand,New Zealand,Pakistan,0,0.6
2024-01-14,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka,1,0.6
2024-01-16,"""R Premadasa Stadium",Zimbabwe,Zimbabwe,Sri Lanka,Zimbabwe,1,0.6
2024-01-17,"""University Oval",Pakistan,New Zealand,New Zealand,Pakistan,0,0.6
2024-01-18,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,Zimbabwe,Sri Lanka,1,0.6
2024-01-19,"""Hagley Oval",New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2024-01-21,"""Hagley Oval",Pakistan,Pakistan,Pakistan,New Zealand,1,0.6
2024-02-09,"""Bellerive Oval",West Indies,Australia,Australia,West Indies,0,0.6
2024-02-11,Adelaide Oval,West Indies,Australia,Australia,West Indies,0,0.6
2024-02-13,Perth Stadium,West Indies,West Indies,West Indies,Australia,1,0.6
2024-02-21,"""Sky Stadium",New Zealand,Australia,New Zealand,Australia,0,0.6
2024-02-23,"""Eden Park",New Zealand,Australia,Australia,New Zealand,0,0.6
2024-02-25,"""Eden Park",New Zealand,Australia,Australia,New Zealand,0,0.6
2024-02-27,"""Tribhuvan University International Cricket Ground",Namibia,Namibia,Namibia,Nepal,1,0.6
2024-02-28,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Netherlands,Nepal,0,0.6
2024-02-29,"""Tribhuvan University International Cricket Ground",Netherlands,Netherlands,Netherlands,Namibia,1,0.6
2024-03-01,"""Tribhuvan University International Cricket Ground",Namibia,Nepal,Nepal,Namibia,0,0.6
2024-03-02,"""Tribhuvan University International Cricket Ground",Netherlands,Nepal,Netherlands,Nepal,0,0.6
2024-03-05,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Nepal,Netherlands,0,0.6
2024-03-11,Dubai International Cricket Stadium,United Arab Emirates,United Arab Emirates,Scotland,United Arab Emirates,1,0.6
2024-03-13,Dubai International Cricket Stadium,United Arab Emirates,Scotland,Scotland,United Arab Emirates,0,0.6
2024-03-14,Dubai International Cricket Stadium,United Arab Emirates,Scotland,Scotland,United Arab Emirates,0,0.6
2024-03-17,"""Achimota Senior Secondary School A Field",Zimbabwe,Zimbabwe,Zimbabwe,Namibia,1,0.6
2024-03-23,"""Achimota Senior Secondary School A Field",Namibia,Zimbabwe,Namibia,Zimbabwe,0,0.6
2024-04-01,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Namibia,Oman,Namibia,1,0.6
2024-04-02,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Oman,Namibia,1,0.6
2024-04-04,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Namibia,Oman,1,0.6
2024-04-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Namibia,Namibia,Oman,0,0.6
2024-04-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Namibia,Namibia,Namibia,Oman,1,0.6
2024-04-15,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,United Arab Emirates,Oman,1,0.6
2024-04-19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,United Arab Emirates,Nepal,United Arab Emirates,1,0.6
2024-04-20,Rawalpindi Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan,1,0.6
2024-04-21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,United Arab Emirates,United Arab Emirates,Oman,0,0.6
2024-04-21,Rawalpindi Cricket Stadium,New Zealand,New Zealand,Pakistan,New Zealand,1,0.6
2024-04-25,"""Gaddafi Stadium",Pakistan,New Zealand,New Zealand,Pakistan,0,0.6
2024-04-27,"""Gaddafi Stadium",New Zealand,Pakistan,Pakistan,New Zealand,0,0.6
2024-05-10,"""Castle Avenue",Ireland,Ireland,Pakistan,Ireland,1,0.6
2024-05-12,"""Castle Avenue",Pakistan,Pakistan,Ireland,Pakistan,1,0.6
2024-05-14,"""Castle Avenue",Pakistan,Pakistan,Ireland,Pakistan,1,0.6
2024-05-18,"""Sportpark Westvliet",Scotland,Netherlands,Netherlands,Scotland,0,0.6
2024-05-19,"""Sportpark Westvliet",Netherlands,Ireland,Ireland,Netherlands,0,0.6
2024-05-22,"""Sportpark Westvliet",Netherlands,Scotland,Scotland,Netherlands,0,0.6
2024-05-23,"""Sportpark Westvliet",Scotland,Ireland,Scotland,Ireland,0,0.6
2024-05-23,"""Sabina Park",South Africa,West Indies,West Indies,South Africa,0,0.6
2024-05-24,"""Sportpark Westvliet",Netherlands,Ireland,Ireland,Netherlands,0,0.6
2024-05-25,"""Sabina Park",West Indies,West Indies,West Indies,South Africa,1,0.6
2024-05-25,"""Edgbaston",Pakistan,England,England,Pakistan,0,0.6
2024-05-26,"""Sabina Park",South Africa,West Indies,South Africa,West Indies,0,0.6
2024-05-30,"""Kennington Oval",England,England,Pakistan,England,1,0.6
2024-06-03,"""Nassau County International Cricket Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa,0,0.6
2024-06-04,"""Grand Prairie Stadium",Netherlands,Netherlands,Nepal,Netherlands,1,0.6
2024-06-05,"""Nassau County International Cricket Stadium",India,India,Ireland,India,1,0.6
2024-06-05,"""Kensington Oval",Oman,Australia,Australia,Oman,0,0.6
2024-06-06,"""Kensington Oval",Namibia,Scotland,Namibia,Scotland,0,0.6
2024-06-07,"""Nassau County International Cricket Stadium",Ireland,Canada,Canada,Ireland,0,0.6
2024-06-08,"""Nassau County International Cricket Stadium",South Africa,South Africa,Netherlands,South Africa,1,0.6
2024-06-08,"""Kensington Oval",England,Australia,Australia,England,0,0.6
2024-06-09,"""Nassau County International Cricket Stadium",Pakistan,India,India,Pakistan,0,0.6
2024-06-09,"""Sir Vivian Richards Stadium",Oman,Scotland,Oman,Scotland,0,0.6
2024-06-11,"""Sir Vivian Richards Stadium",Australia,Australia,Namibia,Australia,1,0.6
2024-06-11,"""Nassau County International Cricket Stadium",Pakistan,Pakistan,Canada,Pakistan,1,0.6
2024-06-12,"""Brian Lara Stadium",New Zealand,West Indies,West Indies,New Zealand,0,0.6
2024-06-13,"""Sir Vivian Richards Stadium",England,England,Oman,England,1,0.6
2024-06-14,"""Arnos Vale Ground",Nepal,South Africa,South Africa,Nepal,0,0.6
2024-06-15,"""Daren Sammy National Cricket Stadium",Australia,Australia,Scotland,Australia,1,0.6
2024-06-15,"""Sir Vivian Richards Stadium",Namibia,England,England,Namibia,0,0.6
2024-06-16,"""Central Broward Regional Park Stadium Turf Ground",Pakistan,Pakistan,Ireland,Pakistan,1,0.6
2024-06-16,"""Daren Sammy National Cricket Stadium",Netherlands,Sri Lanka,Sri Lanka,Netherlands,0,0.6
2024-06-19,"""Daren Sammy National Cricket Stadium",England,England,West Indies,England,1,0.6
2024-06-21,"""Daren Sammy National Cricket Stadium",England,South Africa,South Africa,England,0,0.6
2024-06-23,"""Sir Vivian Richards Stadium",South Africa,South Africa,West Indies,South Africa,1,0.6
2024-06-24,"""Daren Sammy National Cricket Stadium",Australia,India,India,Australia,0,0.6
2024-06-27,"""Providence Stadium",England,India,India,England,0,0.6
2024-06-29,"""Kensington Oval",India,India,India,South Africa,1,0.6
2024-07-06,Harare Sports Club,India,Zimbabwe,Zimbabwe,India,0,0.6
2024-07-07,Harare Sports Club,India,India,India,Zimbabwe,1,0.6
2024-07-10,Harare Sports Club,India,India,India,Zimbabwe,1,0.6
2024-07-13,Harare Sports Club,India,India,Zimbabwe,India,1,0.6
2024-07-14,Harare Sports Club,Zimbabwe,India,India,Zimbabwe,0,0.6
2024-07-27,Pallekele International Cricket Stadium,Sri Lanka,India,India,Sri Lanka,0,0.6
2024-07-28,Pallekele International Cricket Stadium,India,India,Sri Lanka,India,1,0.6
2024-08-23,"""Brian Lara Stadium",West Indies,West Indies,South Africa,West Indies,1,0.6
2024-08-23,"""Sportpark Maarschalkerweerd",Canada,Netherlands,Canada,Netherlands,0,0.6
2024-08-25,"""Brian Lara Stadium",South Africa,West Indies,West Indies,South Africa,0,0.6
2024-08-26,"""Sportpark Maarschalkerweerd",Netherlands,Canada,Canada,Netherlands,0,0.6
2024-08-27,"""Brian Lara Stadium",West Indies,West Indies,South Africa,West Indies,1,0.6
2024-09-04,"""Grange Cricket Club Ground",Australia,Australia,Scotland,Australia,1,0.6
2024-09-06,"""Grange Cricket Club Ground",Scotland,Australia,Australia,Scotland,0,0.6
2024-09-07,"""Grange Cricket Club Ground",Australia,Australia,Scotland,Australia,1,0.6
2024-09-11,"""The Rose Bowl",England,Australia,Australia,England,0,0.6
2024-09-13,"""Sophia Gardens",England,England,Australia,England,1,0.6
2024-09-27,"""Zayed Cricket Stadium",South Africa,South Africa,Ireland,South Africa,1,0.6
2024-09-28,"""Maple Leaf North-West Ground",Nepal,Canada,Canada,Nepal,0,0.6
2024-09-29,"""Zayed Cricket Stadium",South Africa,Ireland,Ireland,South Africa,0,0.6
2024-09-29,"""Wanderers Cricket Ground",Namibia,United Arab Emirates,United Arab Emirates,Namibia,0,0.6
2024-09-29,"""Maple Leaf North-West Ground",Oman,Nepal,Nepal,Oman,0,0.6
2024-09-30,"""Maple Leaf North-West Ground",Oman,Oman,Canada,Oman,1,0.6
2024-10-01,"""Maple Leaf North-West Ground",Canada,Canada,Nepal,Canada,1,0.6
2024-10-02,"""Maple Leaf North-West Ground",Oman,Nepal,Nepal,Oman,0,0.6
2024-10-02,"""Wanderers Cricket Ground",Namibia,United Arab Emirates,Namibia,United Arab Emirates,0,0.6
2024-10-03,"""Maple Leaf North-West Ground",Canada,Canada,Oman,Canada,1,0.6
2024-10-13,Rangiri Dambulla International Stadium,West Indies,West Indies,Sri Lanka,West Indies,1,0.6
2024-10-15,Rangiri Dambulla International Stadium,Sri Lanka,Sri Lanka,Sri Lanka,West Indies,1,0.6
2024-10-17,Rangiri Dambulla International Stadium,West Indies,Sri Lanka,West Indies,Sri Lanka,0,0.6
2024-11-08,"""Kingsmead",South Africa,India,India,South Africa,0,0.6
2024-11-09,"""Kensington Oval",England,England,West Indies,England,1,0.6
2024-11-09,Rangiri Dambulla International Stadium,New Zealand,Sri Lanka,New Zealand,Sri Lanka,0,0.6
2024-11-10,Rangiri Dambulla International Stadium,Sri Lanka,New Zealand,New Zealand,Sri Lanka,0,0.6
2024-11-10,"""St George's Park",South Africa,South Africa,India,South Africa,1,0.6
2024-11-10,"""Kensington Oval",England,England,West Indies,England,1,0.6
2024-11-13,"""SuperSport Park",South Africa,India,India,South Africa,0,0.6
2024-11-13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Netherlands,Oman,1,0.6
2024-11-14,"""Brisbane Cricket Ground",Pakistan,Australia,Australia,Pakistan,0,0.6
2024-11-14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Netherlands,Oman,0,0.6
2024-11-14,"""Daren Sammy National Cricket Stadium",England,England,West Indies,England,1,0.6
2024-11-15,"""The Wanderers Stadium",India,India,India,South Africa,1,0.6
2024-11-16,Sydney Cricket Ground,Australia,Australia,Australia,Pakistan,1,0.6
2024-11-16,"""Daren Sammy National Cricket Stadium",West Indies,West Indies,England,West Indies,1,0.6
2024-11-16,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,Netherlands,Oman,0,0.6
2024-11-18,"""Bellerive Oval",Pakistan,Australia,Pakistan,Australia,0,0.6
2024-12-01,"""Queens Sports Club",Pakistan,Pakistan,Pakistan,Zimbabwe,1,0.6
2024-12-03,"""Queens Sports Club",Zimbabwe,Pakistan,Zimbabwe,Pakistan,0,0.6
2024-12-05,"""Queens Sports Club",Pakistan,Zimbabwe,Pakistan,Zimbabwe,0,0.6
2024-12-10,"""Kingsmead",South Africa,South Africa,South Africa,Pakistan,1,0.6
2024-12-13,"""SuperSport Park",Pakistan,South Africa,Pakistan,South Africa,0,0.6
2024-12-15,"""ICC Academy",Oman,United Arab Emirates,United Arab Emirates,Oman,0,0.6
2024-12-28,"""Bay Oval",Sri Lanka,New Zealand,New Zealand,Sri Lanka,0,0.6
2024-12-30,"""Bay Oval",Sri Lanka,New Zealand,New Zealand,Sri Lanka,0,0.6
2025-01-02,"""Saxton Oval",New Zealand,Sri Lanka,Sri Lanka,New Zealand,0,0.6
2025-01-22,"""Eden Gardens",India,India,England,India,1,0.6
2025-01-25,"""MA Chidambaram Stadium",India,India,England,India,1,0.6
2025-01-28,"""Saurashtra Cricket Association Stadium",India,England,England,India,0,0.6
2025-01-31,"""Maharashtra Cricket Association Stadium",England,India,India,England,0,0.6
2025-02-02,"""Wankhede Stadium",England,India,India,England,0,0.6
