date,venue,toss_winner,winner,team1,team2
2019-09-19,"""The Village",Netherlands,Scotland,Netherlands,Scotland
2019-09-22,M.Chinnaswamy Stadium,India,South Africa,India,South Africa
2019-09-27,Indian Association Ground,Nepal,Zimbabwe,Nepal,Zimbabwe
2019-09-28,Indian Association Ground,Singapore,Nepal,Singapore,Nepal
2019-09-29,Indian Association Ground,Singapore,Singapore,Singapore,Zimbabwe
2019-09-29,Kinrara Academy Oval,Vanuatu,Vanuatu,Malaysia,Vanuatu
2019-10-01,Indian Association Ground,Nepal,Zimbabwe,Nepal,Zimbabwe
2019-10-01,Kinrara Academy Oval,Vanuatu,Vanuatu,Malaysia,Vanuatu
2019-10-02,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Vanuatu
2019-10-03,Indian Association Ground,Zimbabwe,Zimbabwe,Singapore,Zimbabwe
2019-10-03,Kinrara Academy Oval,Malaysia,Vanuatu,Malaysia,Vanuatu
2019-10-04,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Vanuatu
2019-10-05,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Ireland,Netherlands
2019-10-05,Gaddafi Stadium,Pakistan,Sri Lanka,Pakistan,Sri Lanka
2019-10-06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Hong Kong,Nepal
2019-10-06,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Oman,Oman,Ireland
2019-10-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Hong Kong,Ireland
2019-10-07,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Nepal,Nepal,Netherlands
2019-10-07,Gaddafi Stadium,Sri Lanka,Sri Lanka,Pakistan,Sri Lanka
2019-10-09,Gaddafi Stadium,Sri Lanka,Sri Lanka,Pakistan,Sri Lanka
2019-10-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Oman,Oman,Netherlands
2019-10-09,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Ireland,Ireland,Ireland,Nepal
2019-10-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Oman,Nepal
2019-10-10,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Hong Kong,Netherlands,Hong Kong,Netherlands
2019-10-18,ICC Academy,Netherlands,Netherlands,Kenya,Netherlands
2019-10-18,ICC Academy,Scotland,Singapore,Scotland,Singapore
2019-10-18,Sheikh Zayed Stadium,Oman,Oman,United Arab Emirates,Oman
2019-10-18,Sheikh Zayed Stadium,Hong Kong,Ireland,Hong Kong,Ireland
2019-10-19,ICC Academy,Papua New Guinea,Papua New Guinea,Bermuda,Papua New Guinea
2019-10-19,Sheikh Zayed Stadium,Jersey,Jersey,Jersey,Nigeria
2019-10-19,ICC Academy Ground No 2,Scotland,Scotland,Kenya,Scotland
2019-10-19,ICC Academy,Netherlands,Netherlands,Namibia,Netherlands
2019-10-19,Sheikh Zayed Stadium,United Arab Emirates,United Arab Emirates,United Arab Emirates,Ireland
2019-10-20,Tolerance Oval,Jersey,Canada,Canada,Jersey
2019-10-20,Sheikh Zayed Stadium,Oman,Oman,Hong Kong,Oman
2019-10-20,ICC Academy Ground No 2,Papua New Guinea,Papua New Guinea,Namibia,Papua New Guinea
2019-10-20,ICC Academy Ground No 2,Bermuda,Singapore,Bermuda,Singapore
2019-10-21,ICC Academy,Scotland,Scotland,Papua New Guinea,Scotland
2019-10-21,Sheikh Zayed Stadium,Hong Kong,United Arab Emirates,United Arab Emirates,Hong Kong
2019-10-21,Tolerance Oval,Oman,Ireland,Ireland,Oman
2019-10-21,ICC Academy,Kenya,Kenya,Bermuda,Kenya
2019-10-21,Sheikh Zayed Stadium,Canada,Canada,Canada,Nigeria
2019-10-22,ICC Academy,Namibia,Namibia,Namibia,Scotland
2019-10-22,ICC Academy,Singapore,Netherlands,Netherlands,Singapore
2019-10-22,Tolerance Oval,Jersey,Jersey,United Arab Emirates,Jersey
2019-10-23,ICC Academy Ground No 2,Singapore,Kenya,Kenya,Singapore
2019-10-23,Sheikh Zayed Stadium,Canada,Canada,Canada,Ireland
2019-10-23,Tolerance Oval,Nigeria,Oman,Nigeria,Oman
2019-10-23,Sheikh Zayed Stadium,Hong Kong,Hong Kong,Hong Kong,Jersey
2019-10-23,ICC Academy Ground No 2,Namibia,Namibia,Bermuda,Namibia
2019-10-24,ICC Academy,Netherlands,Papua New Guinea,Netherlands,Papua New Guinea
2019-10-24,Tolerance Oval,United Arab Emirates,United Arab Emirates,United Arab Emirates,Nigeria
2019-10-24,Tolerance Oval,Hong Kong,Hong Kong,Canada,Hong Kong
2019-10-24,Dubai International Cricket Stadium,Bermuda,Scotland,Bermuda,Scotland
2019-10-25,Dubai International Cricket Stadium,Singapore,Papua New Guinea,Papua New Guinea,Singapore
2019-10-25,La Manga Club Bottom Ground,Spain,Spain,Spain,Portugal
2019-10-25,Sheikh Zayed Stadium,Canada,Oman,Canada,Oman
2019-10-25,Tolerance Oval,Ireland,Ireland,Ireland,Jersey
2019-10-25,Dubai International Cricket Stadium,Namibia,Namibia,Kenya,Namibia
2019-10-26,La Manga Club Bottom Ground,Portugal,Spain,Spain,Portugal
2019-10-26,Sheikh Zayed Stadium,Nigeria,Ireland,Ireland,Nigeria
2019-10-26,La Manga Club Bottom Ground,Spain,Spain,Spain,Gibraltar
2019-10-26,Dubai International Cricket Stadium,Singapore,Namibia,Namibia,Singapore
2019-10-26,Dubai International Cricket Stadium,Netherlands,Netherlands,Bermuda,Netherlands
2019-10-26,La Manga Club Bottom Ground,Gibraltar,Portugal,Gibraltar,Portugal
2019-10-27,Sheikh Zayed Stadium,Oman,Jersey,Jersey,Oman
2019-10-27,Dubai International Cricket Stadium,Kenya,Papua New Guinea,Kenya,Papua New Guinea
2019-10-27,Tolerance Oval,Nigeria,Hong Kong,Hong Kong,Nigeria
2019-10-27,Dubai International Cricket Stadium,Netherlands,Netherlands,Netherlands,Scotland
2019-10-27,La Manga Club Bottom Ground,Spain,Spain,Spain,Gibraltar
2019-10-27,Adelaide Oval,Sri Lanka,Australia,Australia,Sri Lanka
2019-10-27,Sheikh Zayed Stadium,Canada,United Arab Emirates,United Arab Emirates,Canada
2019-10-29,Dubai International Cricket Stadium,United Arab Emirates,Netherlands,United Arab Emirates,Netherlands
2019-10-29,Dubai International Cricket Stadium,Namibia,Namibia,Namibia,Oman
2019-10-30,Dubai International Cricket Stadium,Scotland,Scotland,United Arab Emirates,Scotland
2019-10-30,Dubai International Cricket Stadium,Oman,Oman,Hong Kong,Oman
2019-10-30,"""Brisbane Cricket Ground",Sri Lanka,Australia,Australia,Sri Lanka
2019-10-31,ICC Academy,Oman,Scotland,Oman,Scotland
2019-11-01,Hagley Oval,England,England,New Zealand,England
2019-11-01,Dubai International Cricket Stadium,Ireland,Netherlands,Ireland,Netherlands
2019-11-01,Dubai International Cricket Stadium,Papua New Guinea,Papua New Guinea,Namibia,Papua New Guinea
2019-11-01,Melbourne Cricket Ground,Australia,Australia,Australia,Sri Lanka
2019-11-02,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,Namibia
2019-11-02,Dubai International Cricket Stadium,Papua New Guinea,Netherlands,Netherlands,Papua New Guinea
2019-11-03,Arun Jaitley Stadium,Bangladesh,Bangladesh,India,Bangladesh
2019-11-03,Westpac Stadium,England,New Zealand,New Zealand,England
2019-11-05,Manuka Oval,Pakistan,Australia,Australia,Pakistan
2019-11-05,Saxton Oval,New Zealand,New Zealand,New Zealand,England
2019-11-07,Saurashtra Cricket Association Stadium,India,India,India,Bangladesh
2019-11-08,Perth Stadium,Australia,Australia,Australia,Pakistan
2019-11-08,McLean Park,New Zealand,England,New Zealand,England
2019-11-10,"""Vidarbha Cricket Association Stadium",Bangladesh,India,India,Bangladesh
2019-12-05,Tribhuvan University International Cricket Ground,Bhutan,Nepal,Nepal,Bhutan
2019-12-06,"""Rajiv Gandhi International Stadium",India,India,India,West Indies
2019-12-06,Tribhuvan University International Cricket Ground,Nepal,Nepal,Nepal,Maldives
2019-12-07,Tribhuvan University International Cricket Ground,Maldives,Maldives,Bhutan,Maldives
2019-12-08,Greenfield International Stadium,West Indies,West Indies,India,West Indies
2019-12-09,Tribhuvan University International Cricket Ground,Nepal,Nepal,Nepal,Maldives
2019-12-11,Wankhede Stadium,West Indies,India,India,West Indies
2020-01-07,Holkar Cricket Stadium,India,India,India,Sri Lanka
2020-01-10,Maharashtra Cricket Association Stadium,Sri Lanka,India,India,Sri Lanka
2020-01-15,"""National Cricket Stadium",Ireland,Ireland,West Indies,Ireland
2020-01-19,"""Warner Park",West Indies,West Indies,West Indies,Ireland
2020-01-24,Eden Park,India,India,New Zealand,India
2020-01-24,Gaddafi Stadium,Bangladesh,Pakistan,Pakistan,Bangladesh
2020-01-25,Gaddafi Stadium,Bangladesh,Pakistan,Pakistan,Bangladesh
2020-01-26,Eden Park,New Zealand,India,New Zealand,India
2020-02-02,Bay Oval,India,India,New Zealand,India
2020-02-12,Buffalo Park,England,South Africa,South Africa,England
2020-02-14,Kingsmead,South Africa,England,South Africa,England
2020-02-16,SuperSport Park,South Africa,England,South Africa,England
2020-02-20,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Hong Kong
2020-02-21,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Hong Kong
2020-02-21,The Wanderers Stadium,South Africa,Australia,South Africa,Australia
2020-02-23,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Hong Kong
2020-02-23,St George's Park,South Africa,South Africa,South Africa,Australia
2020-02-24,Kinrara Academy Oval,Malaysia,Malaysia,Malaysia,Hong Kong
2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Oman,Maldives
2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Qatar,Bahrain,Bahrain,Qatar
2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Kuwait,Kuwait,Iran,Kuwait
2020-02-25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,United Arab Emirates,Saudi Arabia,United Arab Emirates
2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,United Arab Emirates,Qatar,United Arab Emirates
2020-02-26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Kuwait,Kuwait,Bahrain
2020-02-26,Newlands,South Africa,Australia,South Africa,Australia
2020-02-26,Kinrara Academy Oval,Hong Kong,Malaysia,Malaysia,Hong Kong
2020-02-27,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,United Arab Emirates,Kuwait,United Arab Emirates
2020-02-29,Terdthai Cricket Ground,Thailand,Singapore,Thailand,Singapore
2020-03-01,Terdthai Cricket Ground,Nepal,Hong Kong,Hong Kong,Nepal
2020-03-01,Terdthai Cricket Ground,Thailand,Malaysia,Thailand,Malaysia
2020-03-03,Terdthai Cricket Ground,Singapore,Singapore,Malaysia,Singapore
2020-03-03,Terdthai Cricket Ground,Thailand,Hong Kong,Thailand,Hong Kong
2020-03-04,Pallekele International Cricket Stadium,West Indies,West Indies,Sri Lanka,West Indies
2020-03-04,Terdthai Cricket Ground,Thailand,Nepal,Thailand,Nepal
2020-03-04,Terdthai Cricket Ground,Singapore,Singapore,Hong Kong,Singapore
2020-03-06,Terdthai Cricket Ground,Malaysia,Hong Kong,Hong Kong,Malaysia
2020-03-06,Pallekele International Cricket Stadium,West Indies,West Indies,Sri Lanka,West Indies
2020-03-08,Desert Springs Cricket Ground,Spain,Germany,Spain,Germany
2020-03-08,Desert Springs Cricket Ground,Spain,Spain,Spain,Germany
2020-03-09,"""Shere Bangla National Stadium",Zimbabwe,Bangladesh,Bangladesh,Zimbabwe
2020-03-11,"""Shere Bangla National Stadium",Bangladesh,Bangladesh,Bangladesh,Zimbabwe
2020-08-21,College Field,Isle of Man,Guernsey,Isle of Man,Guernsey
2020-08-29,Pierre Werner Cricket Ground,Belgium,Belgium,Belgium,Luxembourg
2020-08-30,Pierre Werner Cricket Ground,Belgium,Belgium,Belgium,Luxembourg
2020-08-30,Pierre Werner Cricket Ground,Belgium,Belgium,Belgium,Czech Republic
2020-08-30,Old Trafford,England,England,Pakistan,England
2020-09-01,Old Trafford,England,Pakistan,Pakistan,England
2020-09-04,The Rose Bowl,Australia,England,England,Australia
2020-09-06,The Rose Bowl,Australia,England,Australia,England
2020-09-08,The Rose Bowl,Australia,Australia,England,Australia
2020-10-16,Moara Vlasiei Cricket Ground,Bulgaria,Bulgaria,Bulgaria,Romania
2020-10-17,Moara Vlasiei Cricket Ground,Romania,Romania,Romania,Bulgaria
2020-10-18,Moara Vlasiei Cricket Ground,Bulgaria,Romania,Bulgaria,Romania
2020-11-07,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,Zimbabwe,Pakistan
2020-11-08,Rawalpindi Cricket Stadium,Pakistan,Pakistan,Zimbabwe,Pakistan
2020-11-10,Rawalpindi Cricket Stadium,Zimbabwe,Pakistan,Zimbabwe,Pakistan
2020-11-27,Newlands,England,England,South Africa,England
2020-11-27,Eden Park,New Zealand,New Zealand,West Indies,New Zealand
2020-11-29,Bay Oval,West Indies,New Zealand,New Zealand,West Indies
2020-11-29,Boland Park,England,England,South Africa,England
2020-12-01,Newlands,South Africa,England,South Africa,England
2020-12-04,Manuka Oval,Australia,India,India,Australia
2020-12-06,Sydney Cricket Ground,India,India,Australia,India
2020-12-08,Sydney Cricket Ground,India,Australia,Australia,India
2020-12-18,Eden Park,Pakistan,New Zealand,Pakistan,New Zealand
2020-12-20,Seddon Park,Pakistan,New Zealand,Pakistan,New Zealand
2020-12-22,McLean Park,Pakistan,Pakistan,New Zealand,Pakistan
2021-02-11,Gaddafi Stadium,South Africa,Pakistan,Pakistan,South Africa
2021-02-13,Gaddafi Stadium,South Africa,South Africa,Pakistan,South Africa
2021-02-14,Gaddafi Stadium,Pakistan,Pakistan,South Africa,Pakistan
2021-02-22,Hagley Oval,Australia,New Zealand,New Zealand,Australia
2021-02-25,University Oval,Australia,New Zealand,New Zealand,Australia
2021-03-03,Westpac Stadium,New Zealand,Australia,Australia,New Zealand
2021-03-03,"""Coolidge Cricket Ground",West Indies,West Indies,Sri Lanka,West Indies
2021-03-05,Westpac Stadium,Australia,Australia,Australia,New Zealand
2021-03-05,"""Coolidge Cricket Ground",Sri Lanka,Sri Lanka,Sri Lanka,West Indies
2021-03-07,"""Coolidge Cricket Ground",Sri Lanka,West Indies,Sri Lanka,West Indies
2021-03-07,Sky Stadium,Australia,New Zealand,Australia,New Zealand
2021-03-12,Narendra Modi Stadium,England,England,India,England
2021-03-14,Narendra Modi Stadium,India,India,England,India
2021-03-16,Narendra Modi Stadium,England,England,India,England
2021-03-18,Narendra Modi Stadium,England,India,India,England
2021-03-20,Narendra Modi Stadium,England,India,India,England
2021-03-28,Seddon Park,New Zealand,New Zealand,New Zealand,Bangladesh
2021-03-30,McLean Park,Bangladesh,New Zealand,New Zealand,Bangladesh
2021-04-01,Eden Park,Bangladesh,New Zealand,New Zealand,Bangladesh
2021-04-03,Wanderers,Uganda,Namibia,Uganda,Namibia
2021-04-05,"""Wanderers Cricket Ground",Namibia,Namibia,Namibia,Uganda
2021-04-05,"""Wanderers Cricket Ground",Namibia,Namibia,Namibia,Uganda
2021-04-10,"""The Wanderers Stadium",South Africa,Pakistan,South Africa,Pakistan
2021-04-12,"""The Wanderers Stadium",Pakistan,South Africa,Pakistan,South Africa
2021-04-14,"""SuperSport Park",Pakistan,Pakistan,South Africa,Pakistan
2021-04-16,"""SuperSport Park",Pakistan,Pakistan,South Africa,Pakistan
2021-04-17,"""Tribhuvan University International Cricket Ground",Nepal,Nepal,Netherlands,Nepal
2021-04-18,"""Tribhuvan University International Cricket Ground",Netherlands,Netherlands,Netherlands,Malaysia
2021-04-19,"""Tribhuvan University International Cricket Ground",Nepal,Nepal,Malaysia,Nepal
2021-04-20,"""Tribhuvan University International Cricket Ground",Nepal,Netherlands,Nepal,Netherlands
2021-04-21,Harare Sports Club,Zimbabwe,Pakistan,Pakistan,Zimbabwe
2021-04-22,"""Tribhuvan University International Cricket Ground",Malaysia,Nepal,Nepal,Malaysia
2021-04-23,Harare Sports Club,Pakistan,Zimbabwe,Zimbabwe,Pakistan
2021-04-24,"""Tribhuvan University International Cricket Ground",Netherlands,Nepal,Nepal,Netherlands
2021-04-25,Harare Sports Club,Pakistan,Pakistan,Pakistan,Zimbabwe
2021-05-21,"""Scott Page Field",Czech Republic,Czech Republic,Luxembourg,Czech Republic
2021-05-22,"""Scott Page Field",Luxembourg,Luxembourg,Czech Republic,Luxembourg
2021-05-22,"""Scott Page Field",Czech Republic,Austria,Austria,Czech Republic
2021-05-23,"""Scott Page Field",Czech Republic,Austria,Czech Republic,Austria
2021-05-23,"""Scott Page Field",Austria,Luxembourg,Austria,Luxembourg
2021-06-23,"""Sophia Gardens",Sri Lanka,England,Sri Lanka,England
2021-06-24,"""National Sports Academy",Greece,Romania,Greece,Romania
2021-06-24,"""Sophia Gardens",Sri Lanka,England,Sri Lanka,England
2021-06-25,"""National Sports Academy",Romania,Romania,Romania,Serbia
2021-06-25,"""National Sports Academy",Greece,Greece,Serbia,Greece
2021-06-25,"""National Sports Academy",Bulgaria,Romania,Bulgaria,Romania
2021-06-26,"""The Rose Bowl",Sri Lanka,England,England,Sri Lanka
2021-06-26,"""National Sports Academy",Serbia,Romania,Serbia,Romania
2021-06-26,"""National Cricket Stadium",West Indies,West Indies,South Africa,West Indies
2021-06-27,"""National Cricket Stadium",West Indies,South Africa,South Africa,West Indies
2021-06-29,"""National Cricket Stadium",West Indies,South Africa,South Africa,West Indies
2021-07-01,"""National Cricket Stadium",South Africa,West Indies,West Indies,South Africa
2021-07-03,"""National Cricket Stadium",South Africa,South Africa,South Africa,West Indies
2021-07-08,Marsa Sports Club,Belgium,Malta,Belgium,Malta
2021-07-08,Marsa Sports Club,Malta,Belgium,Malta,Belgium
2021-07-09,"""Daren Sammy National Cricket Stadium",Australia,West Indies,West Indies,Australia
2021-07-09,Marsa Sports Club,Belgium,Belgium,Malta,Belgium
2021-07-10,Marsa Sports Club,Belgium,Malta,Belgium,Malta
2021-07-10,Marsa Sports Club,Belgium,Belgium,Belgium,Malta
2021-07-10,"""Daren Sammy National Cricket Stadium",Australia,West Indies,West Indies,Australia
2021-07-12,"""Daren Sammy National Cricket Stadium",Australia,West Indies,Australia,West Indies
2021-07-14,"""Daren Sammy National Cricket Stadium",Australia,Australia,Australia,West Indies
2021-07-16,"""Trent Bridge",England,Pakistan,Pakistan,England
2021-07-16,"""Daren Sammy National Cricket Stadium",West Indies,West Indies,West Indies,Australia
2021-07-18,"""Headingley",Pakistan,England,England,Pakistan
2021-07-19,"""The Village",Ireland,South Africa,South Africa,Ireland
2021-07-20,"""Old Trafford",Pakistan,England,Pakistan,England
2021-07-22,Harare Sports Club,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh
2021-07-22,"""Civil Service Cricket Club",South Africa,South Africa,South Africa,Ireland
2021-07-23,Harare Sports Club,Zimbabwe,Zimbabwe,Zimbabwe,Bangladesh
2021-07-24,"""Civil Service Cricket Club",South Africa,South Africa,South Africa,Ireland
2021-07-25,Harare Sports Club,Zimbabwe,Bangladesh,Zimbabwe,Bangladesh
2021-07-25,"""R Premadasa Stadium",Sri Lanka,India,India,Sri Lanka
2021-07-28,"""R Premadasa Stadium",Sri Lanka,Sri Lanka,India,Sri Lanka
2021-07-29,"""R Premadasa Stadium",India,Sri Lanka,India,Sri Lanka
2021-07-31,"""Providence Stadium",West Indies,Pakistan,Pakistan,West Indies
2021-08-03,"""Shere Bangla National Stadium",Australia,Bangladesh,Bangladesh,Australia
2021-08-04,"""Shere Bangla National Stadium",Australia,Bangladesh,Australia,Bangladesh
2021-08-05,Bayer Uerdingen Cricket Ground,France,France,Norway,France
2021-08-05,Bayer Uerdingen Cricket Ground,Germany,Germany,Norway,Germany
2021-08-06,"""Shere Bangla National Stadium",Bangladesh,Bangladesh,Bangladesh,Australia
2021-08-06,Bayer Uerdingen Cricket Ground,Germany,Germany,France,Germany
2021-08-07,Bayer Uerdingen Cricket Ground,France,Norway,Norway,France
2021-08-07,Bayer Uerdingen Cricket Ground,France,Germany,Germany,France
2021-08-07,"""Shere Bangla National Stadium",Bangladesh,Australia,Bangladesh,Australia
2021-08-08,Bayer Uerdingen Cricket Ground,Germany,Norway,Norway,Germany
2021-08-08,Bayer Uerdingen Cricket Ground,Norway,Germany,Norway,Germany
2021-08-09,"""Shere Bangla National Stadium",Bangladesh,Bangladesh,Bangladesh,Australia
2021-08-14,"""Svanholm Park",Sweden,Sweden,Denmark,Sweden
2021-08-15,"""Svanholm Park",Denmark,Denmark,Sweden,Denmark
2021-08-18,Gahanga International Cricket Stadium. Rwanda,Ghana,Rwanda,Ghana,Rwanda
2021-08-20,Gahanga International Cricket Stadium. Rwanda,Ghana,Ghana,Ghana,Rwanda
2021-08-20,Gahanga International Cricket Stadium. Rwanda,Ghana,Rwanda,Rwanda,Ghana
2021-08-20,Gucherre Cricket Ground,Malta,Malta,Gibraltar,Malta
2021-08-21,Kerava National Cricket Ground,Sweden,Finland,Sweden,Finland
2021-08-21,Kerava National Cricket Ground,Sweden,Finland,Sweden,Finland
2021-08-21,Gahanga International Cricket Stadium. Rwanda,Rwanda,Ghana,Rwanda,Ghana
2021-08-21,Gucherre Cricket Ground,Gibraltar,Malta,Malta,Gibraltar
2021-08-22,Kerava National Cricket Ground,Sweden,Sweden,Finland,Sweden
2021-08-22,Gucherre Cricket Ground,Gibraltar,Portugal,Portugal,Gibraltar
2021-08-22,Kerava National Cricket Ground,Sweden,Sweden,Finland,Sweden
2021-08-27,"""Castle Avenue",Ireland,Zimbabwe,Zimbabwe,Ireland
2021-08-29,"""Castle Avenue",Zimbabwe,Ireland,Zimbabwe,Ireland
2021-09-01,"""Bready Cricket Club",Zimbabwe,Ireland,Ireland,Zimbabwe
2021-09-01,"""Shere Bangla National Stadium",New Zealand,Bangladesh,New Zealand,Bangladesh
2021-09-02,"""Bready Cricket Club",Zimbabwe,Ireland,Ireland,Zimbabwe
2021-09-02,"""Moara Vlasiei Cricket Ground",Czech Republic,Hungary,Hungary,Czech Republic
2021-09-02,"""Moara Vlasiei Cricket Ground",Bulgaria,Luxembourg,Luxembourg,Bulgaria
2021-09-03,"""Moara Vlasiei Cricket Ground",Romania,Romania,Romania,Hungary
2021-09-03,"""Moara Vlasiei Cricket Ground",Bulgaria,Malta,Bulgaria,Malta
2021-09-03,"""Moara Vlasiei Cricket Ground",Romania,Romania,Romania,Czech Republic
2021-09-03,"""Shere Bangla National Stadium",Bangladesh,Bangladesh,Bangladesh,New Zealand
2021-09-04,"""Bready Cricket Club",Zimbabwe,Zimbabwe,Zimbabwe,Ireland
2021-09-04,"""Moara Vlasiei Cricket Ground",Malta,Romania,Romania,Malta
2021-09-04,"""Moara Vlasiei Cricket Ground",Hungary,Luxembourg,Luxembourg,Hungary
2021-09-05,"""Moara Vlasiei Cricket Ground",Romania,Romania,Romania,Luxembourg
2021-09-05,"""Moara Vlasiei Cricket Ground",Hungary,Hungary,Malta,Hungary
2021-09-05,"""Shere Bangla National Stadium",New Zealand,New Zealand,New Zealand,Bangladesh
2021-09-08,"""Shere Bangla National Stadium",New Zealand,Bangladesh,New Zealand,Bangladesh
2021-09-10,Entebbe Cricket Oval,Kenya,Kenya,Kenya,Uganda
2021-09-10,"""Desert Springs Cricket Ground",Germany,Germany,Spain,Germany
2021-09-10,"""R Premadasa Stadium",South Africa,South Africa,South Africa,Sri Lanka
2021-09-10,"""Shere Bangla National Stadium",New Zealand,New Zealand,New Zealand,Bangladesh
2021-09-11,Entebbe Cricket Oval,Nigeria,Kenya,Nigeria,Kenya
2021-09-11,"""Desert Springs Cricket Ground",Germany,Spain,Germany,Spain
2021-09-11,"""Desert Springs Cricket Ground",Spain,Spain,Germany,Spain
2021-09-11,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Nigeria
2021-09-12,"""R Premadasa Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa
2021-09-13,Entebbe Cricket Oval,Kenya,Kenya,Kenya,Nigeria
2021-09-13,Entebbe Cricket Oval,Nigeria,Uganda,Nigeria,Uganda
2021-09-14,"""R Premadasa Stadium",Sri Lanka,South Africa,Sri Lanka,South Africa
2021-09-15,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Nigeria
2021-09-15,"""Grange Cricket Club Ground",Scotland,Scotland,Scotland,Zimbabwe
2021-09-16,Entebbe Cricket Oval,Nigeria,Nigeria,Nigeria,Kenya
2021-09-17,"""Grange Cricket Club Ground",Zimbabwe,Zimbabwe,Zimbabwe,Scotland
2021-09-17,Entebbe Cricket Oval,Uganda,Uganda,Uganda,Kenya
2021-09-19,"""Grange Cricket Club Ground",Scotland,Zimbabwe,Scotland,Zimbabwe
2021-10-05,Happy Valley Ground,Estonia,Cyprus,Estonia,Cyprus
2021-10-05,Happy Valley Ground,Cyprus,Cyprus,Estonia,Cyprus
2021-10-06,Happy Valley Ground,Cyprus,Isle of Man,Cyprus,Isle of Man
2021-10-06,Happy Valley Ground,Estonia,Isle of Man,Estonia,Isle of Man
2021-10-07,Happy Valley Ground,Isle of Man,Isle of Man,Cyprus,Isle of Man
2021-10-07,"""ICC Academy",United Arab Emirates,Ireland,United Arab Emirates,Ireland
2021-10-08,Happy Valley Ground,Isle of Man,Isle of Man,Estonia,Isle of Man
2021-10-08,Happy Valley Ground,Cyprus,Cyprus,Cyprus,Estonia
2021-10-08,"""ICC Academy",Ireland,United Arab Emirates,United Arab Emirates,Ireland
2021-10-08,"""ICC Academy",Papua New Guinea,Scotland,Papua New Guinea,Scotland
2021-10-09,"""ICC Academy",Namibia,Namibia,Scotland,Namibia
2021-10-10,"""ICC Academy",Papua New Guinea,Namibia,Namibia,Papua New Guinea
2021-10-10,"""ICC Academy",United Arab Emirates,United Arab Emirates,Ireland,United Arab Emirates
2021-10-15,"""Desert Springs Cricket Ground",Germany,Jersey,Jersey,Germany
2021-10-15,"""Desert Springs Cricket Ground",Denmark,Italy,Denmark,Italy
2021-10-16,"""Desert Springs Cricket Ground",Denmark,Germany,Denmark,Germany
2021-10-16,Integrated Polytechnic Regional Centre,Malawi,Uganda,Malawi,Uganda
2021-10-16,"""Desert Springs Cricket Ground",Jersey,Jersey,Jersey,Italy
2021-10-16,Gahanga International Cricket Stadium. Rwanda,Ghana,Ghana,Rwanda,Ghana
2021-10-16,Gahanga International Cricket Stadium. Rwanda,Seychelles,Ghana,Seychelles,Ghana
2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bangladesh,Scotland,Scotland,Bangladesh
2021-10-17,Integrated Polytechnic Regional Centre,Malawi,Malawi,Swaziland,Malawi
2021-10-17,Integrated Polytechnic Regional Centre,Uganda,Uganda,Uganda,Rwanda
2021-10-17,"""Desert Springs Cricket Ground",Denmark,Jersey,Jersey,Denmark
2021-10-17,"""Desert Springs Cricket Ground",Italy,Germany,Italy,Germany
2021-10-17,Gahanga International Cricket Stadium. Rwanda,Seychelles,Seychelles,Lesotho,Seychelles
2021-10-17,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Oman,Papua New Guinea,Oman
2021-10-18,"""Zayed Cricket Stadium",Sri Lanka,Sri Lanka,Namibia,Sri Lanka
2021-10-18,"""Zayed Cricket Stadium",Netherlands,Ireland,Netherlands,Ireland
2021-10-19,Gahanga International Cricket Stadium. Rwanda,Ghana,Ghana,Malawi,Ghana
