date,venue,toss_winner,winner,team1,team2
2009-06-15,Kennington Oval,Pakistan,Pakistan,Ireland,Pakistan
2009-06-15,Kennington Oval,England,West Indies,England,West Indies
2009-06-16,Trent Bridge,South Africa,South Africa,India,South Africa
2009-06-16,Trent Bridge,Sri Lanka,Sri Lanka,New Zealand,Sri Lanka
2009-06-18,Trent Bridge,Pakistan,Pakistan,Pakistan,South Africa
2009-06-19,Kennington Oval,West Indies,Sri Lanka,Sri Lanka,West Indies
2009-06-21,Lord's,Sri Lanka,Pakistan,Pakistan,Sri Lanka
2009-08-02,"""Warner Park",Bangladesh,West Indies,West Indies,Bangladesh
2009-08-12,R Premadasa Stadium,Pakistan,Pakistan,Sri Lanka,Pakistan
2009-09-02,R Premadasa Stadium,New Zealand,New Zealand,Sri Lanka,New Zealand
2009-09-04,R Premadasa Stadium,New Zealand,New Zealand,Sri Lanka,New Zealand
2009-11-12,Dubai International Cricket Stadium,New Zealand,Pakistan,New Zealand,Pakistan
2009-11-13,Dubai International Cricket Stadium,Pakistan,Pakistan,New Zealand,Pakistan
2009-11-13,New Wanderers Stadium,South Africa,England,South Africa,England
2009-11-15,SuperSport Park,South Africa,South Africa,South Africa,England
2009-12-09,"""Vidarbha Cricket Association Stadium",India,Sri Lanka,India,Sri Lanka
2009-12-12,"""Punjab Cricket Association Stadium",Sri Lanka,India,India,Sri Lanka
2010-02-03,Seddon Park,Bangladesh,New Zealand,New Zealand,Bangladesh
2010-02-05,Melbourne Cricket Ground,Australia,Australia,Australia,Pakistan
2010-02-09,Dubai International Cricket Stadium,Canada,Netherlands,Canada,Netherlands
2010-02-10,Dubai International Cricket Stadium,Kenya,Kenya,Canada,Kenya
2010-02-11,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,Scotland
2010-02-13,Dubai International Cricket Stadium,Ireland,Ireland,Ireland,Netherlands
2010-02-19,Dubai International Cricket Stadium,Pakistan,England,England,Pakistan
2010-02-20,Dubai International Cricket Stadium,Pakistan,Pakistan,England,Pakistan
2010-02-21,Bellerive Oval,Australia,Australia,Australia,West Indies
2010-02-23,Sydney Cricket Ground,West Indies,Australia,Australia,West Indies
2010-02-26,Westpac Stadium,New Zealand,Australia,New Zealand,Australia
2010-02-28,"""Queen's Park Oval",Zimbabwe,Zimbabwe,West Indies,Zimbabwe
2010-04-30,Providence Stadium,Sri Lanka,New Zealand,New Zealand,Sri Lanka
2010-04-30,Providence Stadium,West Indies,West Indies,West Indies,Ireland
2010-05-01,"""Beausejour Stadium",Pakistan,Pakistan,Bangladesh,Pakistan
2010-05-02,"""Beausejour Stadium",South Africa,India,India,South Africa
2010-05-02,"""Beausejour Stadium",Australia,Australia,Australia,Pakistan
2010-05-03,Providence Stadium,West Indies,West Indies,West Indies,England
2010-05-03,Providence Stadium,Sri Lanka,Sri Lanka,Sri Lanka,Zimbabwe
2010-05-04,Providence Stadium,New Zealand,New Zealand,New Zealand,Zimbabwe
2010-05-05,"""Kensington Oval",Australia,Australia,Australia,Bangladesh
2010-05-06,"""Kensington Oval",England,England,England,Pakistan
2010-05-06,"""Kensington Oval",South Africa,South Africa,New Zealand,South Africa
2010-05-07,"""Kensington Oval",Sri Lanka,Sri Lanka,West Indies,Sri Lanka
2010-05-07,"""Kensington Oval",India,Australia,Australia,India
2010-05-08,"""Kensington Oval",England,England,England,South Africa
2010-05-08,"""Kensington Oval",Pakistan,New Zealand,New Zealand,Pakistan
2010-05-09,"""Kensington Oval",Australia,Australia,Australia,Sri Lanka
2010-05-09,"""Kensington Oval",India,West Indies,West Indies,India
2010-05-10,"""Beausejour Stadium",New Zealand,England,England,New Zealand
2010-05-10,"""Beausejour Stadium",Pakistan,Pakistan,Pakistan,South Africa
2010-05-11,"""Beausejour Stadium",West Indies,Australia,West Indies,Australia
2010-05-11,"""Beausejour Stadium",India,Sri Lanka,India,Sri Lanka
